"Celda","Auto Competencia","Misma Actividad","Compatibles","Incompatibles"
14166,1,0,0,0
14167,1,0,0,0
14667,1,0,0,0
17149,1,0,0,0
17649,1,0,0,0
17650,1,0,0,0
18148,1,0,0,0
18149,1,0,0,0
18150,1,0,0,0
18170,1,0,0,0
18648,1,0,0,0
18649,1,0,0,0
18650,1,0,0,0
19149,1,0,0,0
19151,1,0,0,0
19169,1,0,0,0
21164,1,0,0,0
21663,1,0,0,0
21664,1,0,0,0
21665,1,0,0,0
22163,1,0,0,0
22164,1,0,0,0
22663,1,0,0,0
22664,1,0,0,0
22665,1,0,0,0
23163,1,0,0,0
23164,1,0,0,0
23663,1,0,0,0
23664,1,0,0,0
23665,1,0,0,0
24165,1,0,0,0
24169,1,0,0,0
26201,1,0,0,0
27660,1,0,0,0
27687,1,0,0,0
27688,1,0,0,0
28186,1,0,0,0
28187,1,0,0.0303030303030303,0
28188,1,0,0,0
28189,1,0,0,0
28687,1,0.0526315789473684,0.0526315789473684,0
28688,1,0,0,0
28689,1,0,0,0
28690,1,0,0,0
29186,1,0,0,0
29187,1,0,0.037037037037037,0
29188,1,0,0,0
29189,1,0,0,0
29191,1,0,0,0
29669,1,0,0,0
29686,1,0,0,0
29687,1,0,0.0158730158730159,0
29688,1,0,0,0
29689,1,0,0,0
29690,1,0,0,0
29694,1,0,0,0
30187,1,0,0.0384615384615385,0
30188,1,0,0,0
30189,1,0,0,0
30669,1,0,0,0
30686,1,0,0,0
30687,1,0,0,0
30688,1,0,0,0
30689,1,0,0,0
30690,1,0,0,0
30699,1,0,0,0
31669,1,0,0,0
31686,1,0,0,0
31703,1,0,0,0
32199,1,0,0,0
32202,1,0,0,0
32204,1,0,0,0
32205,1,0,0,0
32686,1,0,0,0
33186,1,0,0,0
33199,1,0,0,0
33699,1,0,0,0
35699,1,0,0,0
36654,1,0,0,0
36657,1,0,0,0
36658,1,0,0,0
36659,1,0,0,0
36697,1,0,0,0
37154,1,0,0,0
37155,1,0,0,0
37655,1,0,0,0
37691,1,0,0,0
38150,1,0,0,0
38154,1,0,0,0
38685,1,0,0,0
38688,1,0,0,0
38689,1,0,0,0
38690,1,0,0,0
38692,1,0,0,0
39150,1,0,0,0
39152,1,0,0,0
39153,1,0,0,0
39186,1,0,0,0
39187,1,0,0,0
39188,1,0,0,0
39189,1,0,0,0
39687,1,0,0,0
39688,1,0,0,0
39691,1,0,0,0
40185,1,0,0,0
40186,1,0,0,0
40187,1,0,0,0
40188,1,0,0,0
40685,1,0,0,0
40686,1,0,0,0
40687,1,0,0,0
40688,1,0,0,0
41186,1,0,0,0
41187,1,0,0,0
41686,1,0,0,0
41687,1,0,0,0
41688,1,0,0,0
42186,1,0,0,0
42188,1,0,0,0
42189,1,0,0,0
43654,1,0,0,0
43656,1,0,0,0
43689,1,0,0,0
44154,1,0,0,0
44156,1,0,0,0
44653,1,0,0,0
44654,1,0,0.0588235294117647,0
44655,1,0,0,0
44656,1,0,0,0
44657,1,0,0,0
45153,1,0,0,0
45154,1,0,0.0263157894736842,0
45155,1,0,0,0
45156,1,0,0,0
45246,1,0,0,0
45652,1,0,0,0
45653,1,0,0,0
45654,1,0,0,0
45655,1,0,0,0
45656,1,0,0,0
45745,1,0,0,0
45746,1,0,0,0
46153,1,0,0,0
46154,1,0,0,0
46245,1,0,0,0
46246,1,0,0,0
46652,1,0,0,0
46745,1,0,0,0
46746,1,0,0,0
46747,1,0,0,0
47245,1,0,0,0
47246,1,0,0,0
47690,1,0,0,0
47745,1,0,0,0
