OBJECTID;IDESTACION;CODIGOESTACION;DENOMINACION;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
2860;8_15567;15567;PºMADRID-JUAN CARLOS I;22;28660;1;B2;425769;4473112;1
2861;8_07241;7241;MIGUEL PEÑA-SENDA GALIANA;49;28821;4;B1;454866;4477454;1, 2
2862;8_16397;16397;CTA.VALDERREMATA-TANATORIO;161;28340;1;B3;443431;4449268;6
2863;8_16826;16826;AV.LEGUARIO-PARQUE DE LOS ESCRITORES;106;28981;1;B2;434278;4453209;1, 2, 3
2864;8_09635;9635;CºNOBLEJAS-PZA.NUEVA;13;28300;2;C1;449329;4431281;3
2865;8_18295;18295;AV.REINA SOFÍA-CENTRO COMERCIAL;74;28919;5;B1;436479;4466248;1
2866;8_18320;18320;GRANADA-CTRA.M406;74;28914;1;B1;436388;4463704;1
2867;8_11060;11060;EXTREMADURA-FUENTE;58;28944;4;B2;433051;4459298;2
2868;8_15225;15225;AMBOTO-MENDIOLA;131;28200;1;C1;405812;4497152;2
2869;8_15231;15231;POZAS-URB.ALTOS DE LAS CEBADILLAS;131;28200;1;C1;403911;4495070;4
2870;8_06367;6367;REAL-ZOCO;47;28400;1;B3;415195;4498643;1, 2, 4, 6
2871;8_06147;6147;CTRA.MAJADAHONDA-BIBLIOTECA;127;28231;1;B2;426664;4482640;1
2872;8_06919;6919;OXÍGENO-MÁRMOL;148;28850;2;B2;460476;4478056;2, 3, 1A, 5A
2873;8_06929;6929;BRÚJULA-CENTRO DE SALUD;148;28850;2;B2;461044;4477989;3, 1B, 5B
2874;8_12223;12223;AV.PEÑASCALES-PISTAS DE TENIS;152;28250;1;B3;423604;4491921;4
2875;8_18555;18555;AV.ATENAS-MILÁN;7;28922;1;B1;428815;4466800;2
2876;8_18554;18554;AV.ATENAS-MILÁN;7;28922;1;B1;428822;4466881;2
2877;8_15929;15929;DALÍ-CRISTO DE LA SALUD;161;28342;2;B3;442068;4449959;4
2878;8_15228;15228;MONTE DEL FRAILE-COLEGIO;131;28200;1;C1;404829;4495621;4
2879;8_17989;17989;ACANTO-TULIPÁN;127;28231;1;B2;426629;4483817;2
2880;8_17990;17990;ACANTO-TULIPÁN;127;28231;1;B2;426630;4483850;2
2881;8_15462;15462;PANAMÁ-CHILE;127;28290;1;B2;423812;4488608;2
2882;8_15238;15238;ALARCÓN-CENTRO DE SALUD;131;28200;1;C1;402833;4494267;4
2883;8_18475;18475;LUIS CERVERA VERA-JUAN ESTEBAN;131;28200;1;C1;404375;4495625;4
2884;8_18478;18478;PºMIGUEL UNAMUNO-CEMENTERIO;131;28200;2;C1;403190;4495005;4
2885;8_17738;17738;MARÍA BLANCHARD-CEMENTERIO;113;28320;2;B2;440725;4456178;1
2886;8_13194;13194;CºALCORCÓN-CEMENTERIO;115;28223;1;B1;431045;4475850;1, 2
