OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
4050;6_105;20190912;105;GRAL.ALVAREZ CASTRO-VIRIATO;1862;79;28010;7;A;440512;4476618;3
4051;6_1051;20190912;1051;Pº CASTELLANA-GRAL.YAGUE;36;79;28046;6;A;441567;4478891;5, 27, 40, 147, N22, N24
4052;6_1061;20190912;1061;CONCEJAL FCO.J.JIMENEZ-CARBONERAS;2558;79;28047;10;A;436519;4472644;55, N18
4053;6_1077;20190912;1077;FENELON-LAS MUSAS;3945;79;28022;20;A;448503;4476815;28, 48
4054;6_11;20190912;11;J.ORTEGA Y GASSET-CLAUDIO COELLO;733;79;28006;4;A;441923;4475971;1, 74
4055;6_1112;20190912;1112;ARTURO SORIA-CTA.SGDO.CORAZON;1836;79;28033;15;A;443613;4480078;29, 107, N1
4056;6_1113;20190912;1113;CAIDOS DIVISION AZUL-CTE.FRANCO;211;79;28016;5;A;443081;4479986;29, 70, 107, N1
4057;6_1128;20190912;1128;ARROYO DE LA MEDIA LEGUA;1262;79;28030;14;A;444403;4473649;30, 32, 113, N8
4058;6_2891;20190912;2891;ARTURO SORIA-DALIA;138;79;28033;15;A;443561;4481459;125, 129, 150
4059;6_2645;20190912;2645;ALCALA-EMILIO FERRARI;2334;79;28017;15;A;445498;4476450;38, 109, 113, N5
4060;6_1348;20190912;1348;ALCALA-BOLDANO;2337;79;28027;15;A;445773;4476648;38, 109, 113, N5
4061;6_3827;20190912;3827;DALIA-ARTURO SORIA;4946;79;28033;15;A;443571;4481429;29
4062;6_1592;20190912;1592;AV.ABRANTES-PORTALEGRE;2437;79;28025;11;A;438649;4470807;47, 108
4063;6_1568;20190912;1568;AV.ABRANTES-PORTALEGRE;2436;79;28025;11;A;438698;4470862;47, 247
4064;6_2155;20190912;2155;ALCALA Nº 640-CANILLEJAS;2956;79;28022;20;A;448527;4477988;77, N5
4065;6_391;20190912;391;FERNANDO EL CATOLICO-HILARION ESLAVA;543;79;28015;7;A;439294;4476437;16, 61
4066;6_1844;20190912;1844;EMBAJADORES-Pº STA.Mª CABEZA;2819;79;28012;2;A;440701;4472828;60, 78, 148, N17
4067;6_243;20190912;243;Pº STA.Mª CABEZA-EMBAJADORES;1927;79;28045;2;A;440796;4472767;6, 55, 59, 85, N14
4068;6_3;20190912;3;CARTAGENA-CLARA DEL REY;718;79;28002;5;A;442965;4476972;1, 72
4069;6_393;20190912;393;MENDEZ ALVARO Nº 57;1968;79;28045;2;A;442176;4472361;8, 102, 152, N11, N13
4070;6_569;20190912;569;AVDA.AMERICA-FRANCISCO SILVELA;1280;79;28002;5;A;442717;4476796;72, N4
4071;6_551;20190912;551;TORRELAGUNA-SORZANO;705;79;28043;15;A;444187;4478247;53
4072;6_552;20190912;552;TORRELAGUNA-JOSE SILVA;707;79;28043;15;A;444108;4478526;53
4073;6_6085;20190912;6085;PORTALEGRE-AV.OPORTO;5662;79;28025;11;A;438667;4470941;108
4074;6_1252;20190912;1252;GRAL.RICARDOS-GTA.VALLE DE ORO;340;79;28019;11;A;438046;4471368;34, 35, N26
4075;6_6084;20190912;6084;PORTALEGRE-AV.OPORTO;5663;79;28019;11;A;438710;4471028;108
4076;6_2031;20190912;2031;JORGE JUAN;2703;79;28009;4;A;442800;4475166;C2
4077;6_2615;20190912;2615;PADRE AMIGO-MORENO;5058;79;28025;11;A;437322;4470249;108
4078;6_4029;20190912;4029;PADRE AMIGO-MORENO;5328;79;28025;11;A;437333;4470254;108
4079;6_2614;20190912;2614;SOMBRA Nº25;4653;79;28025;11;A;437202;4470379;108
4080;6_1247;20190912;1247;EUGENIA DE MONTIJO Nº 55;350;79;28025;11;A;436776;4470405;34
4081;6_1265;20190912;1265;AVDA.NTRA.SRA.DE FATIMA-CODORNIZ;1154;79;28047;11;A;436562;4470444;35, N17
4082;6_1277;20190912;1277;AVDA.NTRA.SRA.DE FATIMA-CODORNIZ;1155;79;28025;11;A;436578;4470449;35, N17
4083;6_6083;20190912;6083;INTERCAMBIADOR DE ALUCHE;5685;79;28047;10;A;435565;4470987;155
