OBJECTID;IDESTACION;FECHAACTUAL;CODIGOESTACION;DENOMINACION;CODIGOEMPRESA;CODIGOMUNICIPIO;CODIGOPOSTAL;DISTRITO;CORONATARIFARIA;X;Y;LINEAS
1;6_1514;20190912;1514;OFELIA NIETO-FRANCOS RODRIGUEZ;1677;79;28039;9;A;439802;4479051;44, 128
2;6_1516;20190912;1516;DR.FEDERICO RUBIO-FCO.DIEGO;2399;79;28040;9;A;439532;4478792;44
3;6_1517;20190912;1517;DR.FEDERICO RUBIO Y GALI-AV.PABLO IGLESIAS;2397;79;28040;9;A;439579;4478530;44
4;6_1518;20190912;1518;DR.FEDERICO RUBIO-JERONIMA LLORENTE;1671;79;28039;6;A;439928;4478397;44, 127, N21
5;6_1519;20190912;1519;DR.FEDERICO RUBIO-ABEL;1669;79;28039;6;A;439938;4478216;44, 127
6;6_1522;20190912;1522;SAN FCO.DE SALES-GUZMAN EL BUENO;2393;79;28003;7;A;439623;4477308;44, N21
7;6_1527;20190912;1527;LAGO CALAFATE;2101;79;28018;13;A;444969;4470785;310
8;6_1528;20190912;1528;GTA.PTE.GARCIA MORENO;1413;79;28003;7;A;439473;4477679;45
9;6_1530;20190912;1530;AV.REINA VICTORIA-GRAL.I.IBERO;1415;79;28003;7;A;439827;4477777;45, C1, F
10;6_5430;20190912;5430;CALLE DE MIRABEL, 3;5215;79;28044;10;A;433789;4470000;N19
11;6_3534;20190912;3534;MARQUESADO STA.MARTA-FERNANDO MIJARES;3119;79;28027;20;A;447315;4477842;114, N4
12;6_3539;20190912;3539;STA.ENGRACIA-CARACAS;4675;79;28010;7;A;441012;4475985;3
13;6_3543;20190912;3543;AV.NIZA-LAS MUSAS;3409;79;28022;20;A;448562;4476153;38, E2
14;6_3545;20190912;3545;DR.GARCIA TAPIA-FTE.CARRANTONA;1327;79;28030;14;A;446485;4473434;30
15;6_3558;20190912;3558;AV.BETANZOS-CHANTADA;1501;79;28029;8;A;439782;4480761;42
16;6_3560;20190912;3560;INDALECIO PRIETO-LOS PINILLAS;1826;79;28032;19;A;447380;4472529;8, 71, 130
17;6_3561;20190912;3561;INDALECIO PRIETO-JUGLARES;1828;79;28032;19;A;447448;4472749;8, 71, 130
18;6_3565;20190912;3565;PZA.CORR.ALONSO AGUILAR;832;79;28030;14;A;444175;4473367;20
19;6_3566;20190912;3566;JUAN ESPLANDIU Nº 9;4361;79;28007;3;A;443907;4474597;215
20;6_3568;20190912;3568;JUAN ESPLANDIU Nº 4;4365;79;28007;3;A;443890;4474407;215
21;6_3501;20190912;3501;Pº ALBERTO PALACIOS-Pº FERROVIARIOS;5211;79;28021;17;A;439255;4466328;22, N14
22;6_3573;20190912;3573;GASCUEÑA-FUENSAVIÑAN;3528;79;28022;20;A;451705;4477847;77
23;6_3575;20190912;3575;DR.GARCIA TAPIA-M40;4973;79;28030;14;A;447024;4473242;100, N8
24;6_3429;20190912;3429;JOAQUIN LORENZO-ISLA MALAITA;1518;79;28035;8;A;438848;4480692;42
25;6_3431;20190912;3431;ISLA MALAITA-JOAQUIN LORENZO;1659;79;28035;8;A;438891;4480709;137
26;6_3432;20190912;3432;ISLA MALAITA-CESAR MANRIQUE;1661;79;28035;8;A;438935;4480830;137
27;6_3439;20190912;3439;GRAL.YAGUE-ORENSE;3238;79;28020;6;A;441180;4478864;126
28;6_3061;20190912;3061;AV.PABLO NERUDA-MALGRAT MAR;2522;79;28038;13;A;445669;4471747;54, 142, 144
29;6_3065;20190912;3065;SAN CLAUDIO-RAFAEL FERNANDEZ;2529;79;28038;13;A;446155;4471557;54
30;6_3007;20190912;3007;CERRO DEL CASTAÑAR-MORALZARZAL;1748;79;28034;8;A;439614;4483041;134
31;6_3066;20190912;3066;ANDALUCES-SAN CLAUDIO;2530;79;28038;13;A;446036;4471456;54
32;6_2948;20190912;2948;CTRA.VILLAVERDE A VALLECAS-AV.ROSALES;1800;79;28041;17;A;442127;4468163;23, 130
33;6_2953;20190912;2953;CTRA.CCHEL A VILLAVERDE-CENTRO ESCOLAR;3215;79;28021;17;A;439692;4467487;131
34;6_2958;20190912;2958;RAFAELA YBARRA-UNIDAD;3213;79;28041;12;A;439640;4469245;131
35;6_2960;20190912;2960;AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO;3281;79;28040;9;A;439130;4478314;132
36;6_2961;20190912;2961;ALMIRANTE FCO.MORENO-MORERAS;3283;79;28040;9;A;439361;4478496;132
37;6_2964;20190912;2964;CESAR MANRIQUE-JUAN SANCHEZ;1514;79;28035;8;A;439023;4480815;127, 132, N21
38;6_2977;20190912;2977;ALMIRANTE FCO.MORENO-MORERAS;3284;79;28040;9;A;439333;4478492;132
39;6_2978;20190912;2978;AV.MORERAS-CGIO.MAYOR ALFONSO X EL SABIO;3282;79;28040;9;A;439107;4478301;132
40;6_2979;20190912;2979;AV.MORERAS-RAMIRO DE MAEZTU;3280;79;28040;9;A;438953;4478072;132
41;6_2354;20190912;2354;J.JOSE MTNEZ.SECO-DIAMANTE;1445;79;28021;17;A;441767;4467234;85, 123
42;6_2355;20190912;2355;J.JOSE MTNEZ.SECO-BENITA LOPEZ;1443;79;28021;17;A;441565;4467231;85, 123
43;6_2357;20190912;2357;VIRGEN DE LOS DESAMPARADOS-TOTANES;1189;79;28041;17;A;440759;4467209;18, 86, 116, N14
44;6_2359;20190912;2359;VIRGEN DE LOS DESAMPARADOS;1190;79;28041;17;A;440777;4467203;18, 86, 116, N14
45;6_2360;20190912;2360;ARROYO POZUELO-HINOJO;3434;79;28023;9;B1;434394;4478425;160
46;6_2366;20190912;2366;EMILIO RUBIN-ARTURO SORIA;2878;79;28033;15;A;444011;4479338;87
47;6_2367;20190912;2367;MONTEARAGON Nº 8;2879;79;28033;16;A;444216;4479566;87
48;6_2371;20190912;2371;Cº DE MONTORO-Cº VIEJO DE BURGOS;5208;79;28050;16;A;446447;4481437;87, N2
49;6_2374;20190912;2374;Cº DEL OLIVAR-GRAMA;2896;79;28050;16;A;446782;4481118;87
50;6_2378;20190912;2378;GREGORIO SANCHEZ HERRAEZ;2891;79;28033;16;A;446137;4481189;87, N2
51;6_2382;20190912;2382;AV.BUCARAMANGA-GTA.CHARALA;2737;79;28033;16;A;445889;4480621;87
52;6_2385;20190912;2385;GRAN VIA HORTALEZA-HARO;2882;79;28043;16;A;444870;4480015;87
53;6_2254;20190912;2254;ARROYOFRESNO-AV.C.HERRERA ORIA;1721;79;28035;8;A;437273;4481198;82
54;6_2255;20190912;2255;CANTALEJO-ARROYOFRESNO;1719;79;28035;8;A;437247;4480982;82
55;6_2265;20190912;2265;AV.MIRAFLORES-CTRA.DEHESA VILLA;1700;79;28035;9;A;438221;4479001;82, N20
56;6_2266;20190912;2266;PARANINFO-CIEMAT;1698;79;28040;9;A;438274;4478666;82, N20
57;6_821;20190912;821;FTE.CARRANTONA-ARROYO FONTARRON;847;79;28030;14;A;445868;4472150;20, 142, 144
58;6_823;20190912;823;PZA.CONDE MACEDA Y TABOADA;841;79;28030;14;A;445523;4472929;20, 30, N8
59;6_826;20190912;826;PZA.DEL ENCUENTRO;852;79;28030;14;A;444884;4473188;20, 30, N8
60;6_828;20190912;828;AV.MORATALAZ Nº 21;831;79;28030;14;A;444060;4473422;20
61;6_830;20190912;830;Cº VINATEROS-M30;827;79;28030;14;A;444218;4473769;20, 30, 32, N8
62;6_831;20190912;831;ESTRELLA POLAR-PEZ AUSTRAL;825;79;28007;3;A;443652;4473818;20, 30, 32, N8
63;6_833;20190912;833;AV.NAZARET-JESUS APRENDIZ;821;79;28009;3;A;443203;4473856;20
64;6_836;20190912;836;MENENDEZ PELAYO-A.SAINZ BARANDA;815;79;28009;3;A;442567;4474502;20, 152
65;6_840;20190912;840;JUAN PEREZ ZUÑIGA Nº 19;1246;79;28027;15;A;445095;4477258;21
66;6_776;20190912;776;ALEGRIA DE LA HUERTA-ANOETA;1147;79;28041;17;A;441079;4467420;18, 86, 116, N14
67;6_711;20190912;711;Pº PONTONES-Pº IMPERIAL;550;79;28005;2;A;439383;4473146;17, 41, N16
68;6_713;20190912;713;Pº ERMITA DEL SANTO-PTE.SAN ISIDRO;554;79;28011;11;A;438620;4473086;17, 25, N16
69;6_714;20190912;714;VIA CARPETANA-CARAMUEL;555;79;28047;10;A;438134;4472847;17, N16
70;6_719;20190912;719;VIA CARPETANA-PETIRROJO;566;79;28047;10;A;436958;4471490;17
71;6_1551;20190912;1551;AV.JUAN HERRERA-MARTIN FIERRO;2416;79;28040;9;A;438039;4476902;46, 160, 161, N20, N28
72;6_723;20190912;723;OCAÑA,69;570;79;28047;10;A;436145;4470984;17, N26
73;6_726;20190912;726;AV.RAFAEL FINAT-AV.GRAL.FANJUL;578;79;28044;10;A;435171;4470835;17, 138
74;6_728;20190912;728;AV.RAFAEL FINAT-JOSE DE CADALSO;582;79;28044;10;A;434716;4470349;17, 138
75;6_729;20190912;729;GRAL.ROMERO BASART-AV.RAFAEL FINAT;365;79;28044;10;A;434544;4470189;17, 34, 139
76;6_730;20190912;730;GRAL.ROMERO BASART-O.PLASENCIA;584;79;28044;10;A;434366;4470350;17, 139
77;6_733;20190912;733;GRAL.ROMERO BASART-RAFAEL FINAT;366;79;28044;10;A;434550;4470169;17, 34, 39, 138, 139, N19
78;6_734;20190912;734;AV.RAFAEL FINAT-JOSE DE CADALSO;583;79;28044;10;A;434723;4470333;17, 138
79;6_3402;20190912;3402;GONZALEZ FEITO-CAL;3192;79;28041;12;A;441317;4470394;23, 123
80;6_3409;20190912;3409;VENTISQUERO CONDESA-C.MINGUETE;1563;79;28034;8;A;439401;4482323;64
81;6_3410;20190912;3410;SANTIAGO COMPOSTELA-NARCIS MONTURIOL;1639;79;28034;8;A;440874;4481987;67
82;6_3414;20190912;3414;ALEJANDRO CASONA-DR.REINOSA;1730;79;28035;8;A;438158;4481591;82
83;6_3734;20190912;3734;PTO.PORZUNA-FUENTIDUEÑA;4700;79;28031;18;A;447248;4469715;103, 142
84;6_3735;20190912;3735;PTO.PORZUNA-CONGOSTO;4701;79;28031;18;A;447415;4469882;103, 142
85;6_3737;20190912;3737;ALCALA-AV.25 DE SEPTIEMBRE;4515;79;28027;20;A;447282;4477220;105
86;6_3740;20190912;3740;DR.ESQUERDO-PZA.CONDE CASAL;4717;79;28007;3;A;443228;4473238;56, 156
87;6_3741;20190912;3741;DR.ESQUERDO-SAINZ DE BARANDA;4712;79;28009;3;A;443305;4474394;30, 56, 143, 156, N8
88;6_3743;20190912;3743;CEMENTERIO DE FUENCARRAL;4486;79;28049;8;A;440739;4484444;SE704
89;6_3747;20190912;3747;LOPEZ DE HOYOS-PADRE CLARET;4721;79;28002;5;A;443691;4478121;9, 72, 73, N2
90;6_3748;20190912;3748;Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO;4749;79;28019;11;A;437911;4472541;25
91;6_3753;20190912;3753;Pº ERMITA DEL SANTO-PARQUE SAN ISIDRO;4748;79;28019;11;A;437942;4472555;25
92;6_3756;20190912;3756;VALLE ENMEDIO-GTA.P.CORRALILLOS;4731;79;28035;8;A;439226;4482409;49
93;6_3760;20190912;3760;VENTISQUERO CONDESA-VALLE DE ENMEDIO;4737;79;28035;8;A;439391;4482447;49
94;6_3763;20190912;3763;GOLONDRINA-VELETA;4789;79;28023;9;B1;433676;4478846;160, 161
95;6_3766;20190912;3766;CTRA.HUMERA A ARAVACA-RIAZA;4794;79;28023;9;B1;433968;4478953;160, 161, N28
96;6_3779;20190912;3779;GUECHO-PARADORES;4877;79;28023;9;A;430022;4481133;162
97;6_3785;20190912;3785;AV.ROSALES-CORINDON;4866;79;28041;12;A;441524;4468909;23, N12
98;6_3788;20190912;3788;AYACUCHO-NEVADO RUIZ;4897;79;28033;16;A;446308;4480278;104, 171, T11
99;6_3789;20190912;3789;DR.GARCIA TAPIA-LAPONIA;4757;79;28030;14;A;446847;4473293;30, 100, N8
100;6_3791;20190912;3791;LAPONIA-MUNICH;5384;79;28030;14;A;446848;4473179;30
101;6_3795;20190912;3795;MERCAMADRID-MERCADO PESCADO;4810;79;28053;18;A;443574;4467911;T32
102;6_3796;20190912;3796;MERCAMADRID-NAVES AUXILIARES;4807;79;28053;18;A;444373;4468494;130, T32
103;6_3797;20190912;3797;CENTRO DE TRANSPORTES DE MADRID;4630;79;28053;18;A;444562;4468746;130, T32
104;6_5482;20190912;5482;AV.Cº SANTIAGO-GTA.MONTE DEL GOZO;3766;79;28050;8;A;443536;4484860;172, 172SF, T61
105;6_1974;20190912;1974;PEDRO RICO-ARZOBISPO MORCILLO;1610;79;28029;8;A;440912;4481920;67
106;6_1846;20190912;1846;CARRERA SAN FRANCISCO-SAN I.LABRADOR;2590;79;28005;1;A;439629;4473809;60
107;6_1849;20190912;1849;DIEGO DE LEON-SERRANO;2600;79;28006;4;A;441947;4476487;61
108;6_1850;20190912;1850;GRAL.ORAA-Pº CASTELLANA;2602;79;28006;4;A;441779;4476568;61
109;6_1851;20190912;1851;HERMANOS BECQUER-SERRANO;2601;79;28006;4;A;441859;4476507;61
110;6_1855;20190912;1855;AV.PABLO NERUDA-AV.PALOMERAS;2585;79;28018;13;A;445195;4470944;57
111;6_1861;20190912;1861;PARANINFO-MATEMATICAS;1693;79;28040;9;A;438426;4478208;82, F, G, N20, U
112;6_1862;20190912;1862;PARANINFO-TELECOMUNICACIONES;4285;79;28040;9;A;438397;4478417;82, F, G, N20, U
113;6_1863;20190912;1863;PARANINFO-DERECHO;1696;79;28040;9;A;438245;4478288;82, F, G, N20, U
114;6_1870;20190912;1870;ISAAC PERAL-PZA.CRISTO REY;4514;79;28015;9;A;439230;4476902;1, 44, 82, 132, C2
115;6_1871;20190912;1871;AV.MEDITERRANEO-PZA.CONDE CASAL;2603;79;28007;3;A;443361;4473294;63, 143, 145, E, N9
116;6_1872;20190912;1872;EL BOSCO-MARUJA GARCIA ROMERO;2605;79;28038;13;A;444623;4472996;63, 143
117;6_1873;20190912;1873;EL BOSCO-RAMON PEREZ AYALA;2606;79;28038;13;A;444830;4472749;63, 143, N9
118;6_1874;20190912;1874;EL BOSCO-RAMON PEREZ AYALA;2607;79;28038;13;A;444955;4472599;63, 143, N9
119;6_1876;20190912;1876;AV.MEDITERRANEO-AV.PABLO NERUDA;3353;79;28038;13;A;445700;4471971;63, 145, E, N9
120;6_1877;20190912;1877;AV.MEDITERRANEO-AV.DEMOCRACIA;2612;79;28031;13;A;447117;4471554;63, 145, E, N9
121;6_1879;20190912;1879;CASTRILLO AZA-AV.STA.EUGENIA;2621;79;28031;18;A;448239;4470709;63, N9
122;6_1881;20190912;1881;AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS;2617;79;28031;18;A;448376;4470367;63, 145, N9
123;6_1884;20190912;1884;AV.STA.EUGENIA-VIRGEN DE LAS VIÑAS;2614;79;28031;18;A;448838;4470566;63, 145, N9
124;6_1499;20190912;1499;ISAAC PERAL-FERNANDEZ DE LOS RIOS;4021;79;28015;7;A;439200;4476581;1, 44, 62, 82, 132, 138, C1, N21
125;6_1501;20190912;1501;GRAL.IBAÑEZ IBERO-AV.REINA VICTORIA;2394;79;28003;7;A;439873;4477770;44, N21
126;6_1502;20190912;1502;DR.FEDERICO RUBIO-ALMANSA;1666;79;28039;6;A;439995;4478056;44, 127, N21
127;6_1503;20190912;1503;DR.FEDERICO RUBIO-ABEL;1668;79;28039;6;A;439946;4478242;44, 127
128;6_1506;20190912;1506;DR.FEDERICO RUBIO-FCO.DE DIEGO;2398;79;28040;9;A;439543;4478784;44
129;6_1508;20190912;1508;OFELIA NIETO-FRANCOS RODRIGUEZ;1676;79;28039;6;A;439830;4479049;44, 128
130;6_1510;20190912;1510;OFELIA NIETO-Pº DIRECCION;2402;79;28039;6;A;440129;4479602;44
131;6_1512;20190912;1512;OFELIA NIETO-Pº DIRECCION;2403;79;28039;6;A;440118;4479611;44
132;6_1791;20190912;1791;AV.PABLO NERUDA-LAGO CALAFATE;2582;79;28018;13;A;445077;4470699;57
133;6_1793;20190912;1793;RAFAEL ALBERTI-SAN CLAUDIO;2532;79;28038;13;A;445826;4471307;54, 144
134;6_1794;20190912;1794;AVDA. PABLO NERUDA;2583;79;28018;13;A;445045;4470718;57
135;6_1796;20190912;1796;AV.BUENOS AIRES-MOGAMBO;2578;79;28018;13;A;444671;4470326;57
136;6_1797;20190912;1797;AV.PABLO NERUDA-TRISTANA;3305;79;28018;13;A;444629;4470490;136, 144, N11
137;6_1799;20190912;1799;AV.MEDITERRANEO-CASTRILLO DE AZA;1039;79;28031;18;A;448497;4471048;58, 63
138;6_1800;20190912;1800;MARTINEZ DE LA RIVA-DILIGENCIA;2570;79;28018;13;A;443802;4470685;57, 144
139;6_1802;20190912;1802;CARLOS MARTIN ALVAREZ-JAVIER DE MIGUEL;2566;79;28018;13;A;443749;4471343;57
140;6_2460;20190912;2460;AVENA-HENO;4618;79;28026;12;A;439336;4470149;78
141;6_2465;20190912;2465;FTE.CARRANTONA-LUIS HOYOS SAINZ;1057;79;28030;14;A;446256;4472935;100, 140, E4
142;6_2466;20190912;2466;FTE.CARRANTONA-HACIENDA PAVONES;1055;79;28030;14;A;446132;4472700;100, 140
143;6_2468;20190912;2468;Pº ALAMEDA OSUNA-PQUE.CAPRICHO;2978;79;28042;21;A;449383;4478608;101, 105, 151
144;6_2471;20190912;2471;CARABELA-BALANDRO;3536;79;28042;21;A;450131;4478679;101, 151
145;6_2472;20190912;2472;CARABELA-GALEON;3121;79;28042;21;A;450389;4478687;101, 114, 166
146;6_2476;20190912;2476;CTRA.CIRCUNVALACION-ZODIACO;3546;79;28042;21;A;451338;4480976;101
147;6_2479;20190912;2479;PZA.HNOS.FALCO Y ALVAREZ TOLEDO;1319;79;28042;21;A;451168;4480740;101, 105, 115, N4
148;6_2480;20190912;2480;ACUARIO-PENELOPE;3549;79;28042;21;A;450941;4480878;101
149;6_2484;20190912;2484;BERGANTIN-GALEON;2971;79;28042;21;A;450772;4479073;114, N4
150;6_2485;20190912;2485;AV.CANTABRIA-PZA.GOLETA;2972;79;28042;21;A;450673;4479113;114, N4
151;6_2488;20190912;2488;AV.CANTABRIA-PZA.DEL NAVIO;1303;79;28042;21;A;450254;4478649;112, 114, 115, 151, N4
152;6_2490;20190912;2490;AV.HISPANIDAD-PINOS DE OSUNA;1299;79;28042;21;A;449971;4478140;101, 115, 151, N4
153;6_2491;20190912;2491;AVDA.AMERICA-CIUDAD PEGASO;1297;79;28042;21;A;449505;4478126;101, 114, 115, 151, N4
154;6_2495;20190912;2495;CTRA.CANILLAS-UTRILLAS;2763;79;28043;16;A;445411;4479635;73, N3
155;6_2496;20190912;2496;CTRA.CANILLAS-UTRILLAS;2764;79;28043;16;A;445355;4479630;73, N3
156;6_2500;20190912;2500;AV.ENTREVIAS-T.PEREZ RUBIO;2924;79;28053;13;A;443059;4471412;102, N11
157;6_2502;20190912;2502;CARDEÑOSA-CONDE RGUEZ.SAN PEDRO;2928;79;28053;13;A;443138;4470852;102, N11
158;6_2504;20190912;2504;CAMPIÑA-PZA.DE LAS REGIONES;1115;79;28053;13;A;443154;4470319;103, N11
159;6_2505;20190912;2505;CAMPIÑA-SERENA;1116;79;28053;13;A;443358;4470075;103, N11
160;6_2509;20190912;2509;VILLACARRILLO-CAZORLA;4658;79;28053;13;A;443709;4469847;102, 103, N11
161;6_2512;20190912;2512;MENDEZ ALVARO-EST.SUR AUTOBUSES;2921;79;28045;2;A;442610;4471847;152, N11
162;6_2513;20190912;2513;SIERRA CONTRAVIESA-LAGARTERA;2941;79;28053;13;A;443044;4470539;102, N11
163;6_2516;20190912;2516;AVDA. ENTREVIAS;2925;79;28053;13;A;443073;4471405;102, N11
164;6_5441;20190912;5441;OCA-PINZON;3715;79;28025;11;A;437269;4471389;N26
165;6_3164;20190912;3164;FUENCARRAL-ALBURQUERQUE;3377;79;28010;7;A;440440;4476100;3, 37, 149
166;6_3165;20190912;3165;FUENCARRAL-SANDOVAL;3375;79;28010;7;A;440506;4475891;3, 37, 149, N23
167;6_3166;20190912;3166;FUENCARRAL-GTA.BILBAO;3373;79;28004;1;A;440548;4475745;40, 149
168;6_1618;20190912;1618;JOSE DEL HIERRO-HERMANOS DE PABLO;768;79;28027;15;A;445250;4476762;48, 146
169;6_1619;20190912;1619;JOSE DEL HIERRO-MANDARINA;769;79;28027;15;A;445471;4477008;48, 146
170;6_1624;20190912;1624;AV.CANILLEJAS-ALBAIDA;4390;79;28022;20;A;448223;4476201;48
171;6_1627;20190912;1627;AV.HELLIN-ALCONERA;2349;79;28037;20;A;447846;4476204;38, 153, 165
172;6_1628;20190912;1628;ALBAIDA-AV.CANILLEJAS;2484;79;28037;20;A;448151;4476302;38, 153, 165
173;6_1630;20190912;1630;FRENTE N.5;4498;79;28022;20;A;448239;4476695;N5
174;6_3415;20190912;3415;RAMON GOMEZ SERNA-ALEJANDRO CASONA;1738;79;28035;8;A;438255;4481839;82
175;6_3423;20190912;3423;RIBADAVIA-SINESIO DELGADO;1497;79;28029;8;A;440368;4480675;42
176;6_3320;20190912;3320;BAJO PASO ELEVADO;2090;79;28007;3;A;442844;4472743;136
177;6_3337;20190912;3337;NANCLARES DE OCA-ARAMAYONA;3518;79;28022;20;A;451071;4477502;77
178;6_3251;20190912;3251;SILVANO-COL.VIRGEN DE LA ESPERANZA;393;79;28043;16;A;445650;4479173;120, 122
179;6_3256;20190912;3256;AV.MACHUPICHU-PZA.MANUEL RODRIGO;4913;79;28043;16;A;446445;4479290;112, 122, 153
180;6_3261;20190912;3261;PEÑA CERVERA-FUENTIDUEÑA;3342;79;28031;18;A;447442;4469251;142
181;6_3265;20190912;3265;ASCAO-HNOS.Gª NOBLEJAS;999;79;28017;15;A;446243;4476192;28, N6
182;6_3186;20190912;3186;GRAN VIA HORTALEZA-GTA.LUIS ROSALES;2881;79;28033;16;A;444552;4479991;87
183;6_3201;20190912;3201;JAZMIN-GOLFO DE SALONICA;3246;79;28033;15;A;443966;4481716;129, N1
184;6_3111;20190912;3111;ALCALA-AVENIDA FELIPE II;755;79;28009;4;A;442751;4475300;E2, E3, N5, N7
185;6_3114;20190912;3114;A.LOPEZ CASERO-PZA.JOSE BANUS;762;79;28027;15;A;444489;4476360;146
186;6_3124;20190912;3124;GTA.DE RUIZ JIMENEZ;1771;79;28004;1;A;440278;4475862;147
187;6_2709;20190912;2709;PZA.REGIONES-LAGARTERA;5437;79;28053;13;A;443080;4470460;111, N11
188;6_2711;20190912;2711;RUIDERA-BOHONAL;2930;79;28053;13;A;442727;4470338;102, 111
189;6_2712;20190912;2712;RONDA SUR-STA.RAFAELA;2931;79;28053;13;A;442921;4470174;102, 111
190;6_2717;20190912;2717;RONDA SUR-SERENA;2939;79;28053;13;A;443249;4469914;102, 111
191;6_2719;20190912;2719;BOHONAL-RUIDERA;2940;79;28053;13;A;442735;4470315;102, 111
192;6_2720;20190912;2720;RUIDERA;3097;79;28053;13;A;442925;4470490;111
193;6_2721;20190912;2721;CARLOS MARTIN ALVAREZ-AV.SAN DIEGO;1101;79;28018;13;A;443538;4470988;103, 111
194;6_3708;20190912;3708;VILLABLANCA-SEPIOLITA;4563;79;28032;19;A;449188;4473146;100, 106, N7, SE723
195;6_3712;20190912;3712;Pº ARTILLEROS-AV.DAROCA;4565;79;28032;19;A;448423;4473059;100
196;6_3714;20190912;3714;AV.DAROCA-CALAHORRA;4549;79;28032;19;A;448083;4473266;4, 100, 106, N7
197;6_3715;20190912;3715;AVDA. CANILLEJAS A VICALVARO;4613;79;28032;20;A;448318;4474278;4, 106, SE723
198;6_3578;20190912;3578;GTA.DE EMBAJADORES;5104;79;28012;2;A;440554;4473145;C2
199;6_3581;20190912;3581;HACIENDA PAVONES-CENTRO DE SALUD;4373;79;28030;14;A;446715;4472446;8, 71, E4
200;6_3582;20190912;3582;INDALECIO PRIETO-JOSE PRAT;5027;79;28032;19;A;447257;4472269;8, 71
201;6_3584;20190912;3584;JOSE PRAT-LADERA ALMENDROS;3495;79;28032;19;A;447029;4472317;8, 71, E4
202;6_3587;20190912;3587;JOSE PRAT-INDALECIO PRIETO;1824;79;28032;19;A;447347;4472298;130, E4
203;6_3589;20190912;3589;CHANTADA-CESAR MANRIQUE;3581;79;28035;8;A;439042;4480791;42
204;6_3590;20190912;3590;CHANTADA-CANDIDO MATEOS;3579;79;28035;8;A;439223;4480732;42
205;6_3591;20190912;3591;CHANTADA-CANDIDO MATEOS;3578;79;28035;8;A;439218;4480748;42
206;6_3593;20190912;3593;AV.LOS ANDES-AV.ARROYO DEL SANTO;3588;79;28042;16;A;447390;4478606;104, 112, 122, 153
207;6_3594;20190912;3594;AV.DE LOS ANDES-AÑIL;4885;79;28042;16;A;447697;4478856;104, 112, 122
208;6_3596;20190912;3596;ARTURO SORIA-CALERUEGA;4935;79;28033;15;A;443402;4481187;125, N1
209;6_3598;20190912;3598;GTA.DE RUIZ JIMENEZ;1772;79;28015;1;A;440205;4475873;3, 147
210;6_3599;20190912;3599;LA CORTE DEL FARAON-E.BARREIROS;3596;79;28041;17;A;440725;4468334;116
211;6_3603;20190912;3603;HACIENDA DE PAVONES-FTE.CARRANTONA;4371;79;28030;14;A;446167;4472640;71, E4
212;6_3604;20190912;3604;HACIENDA DE PAVONES-FTE.CARRANTONA;4372;79;28030;14;A;446173;4472646;71, E4, N8
213;6_3606;20190912;3606;ESTACION DE MENDEZ ALVARO;4324;79;28045;2;A;442623;4472054;113
214;6_3607;20190912;3607;AV.SAN LUIS-SOLSONA;1843;79;28033;16;A;444852;4480595;107, 125, 172, 172SF
215;6_3608;20190912;3608;RAMIREZ DE PRADO-JUAN MARIANA;1965;79;28045;2;A;441872;4472499;8
216;6_3611;20190912;3611;RIBERA DEL LOIRA Nº 52;4889;79;28043;21;A;447573;4479385;104
217;6_3612;20190912;3612;AV.25 SEPTIEMBRE-PZA.ENSIDESA;4385;79;28027;20;A;447115;4477404;104
218;6_3613;20190912;3613;GTA.RICARDO VELAZQUEZ BOSCO;4386;79;28027;20;A;446990;4477809;104
219;6_3614;20190912;3614;AV.25 SEPTIEMBRE-PZA.J.A.SUANCES;4381;79;28027;20;A;447075;4477553;104
220;6_3618;20190912;3618;SUECIA-BUCAREST;4414;79;28022;20;A;448832;4475476;38, 140, N6
221;6_3619;20190912;3619;R.BELTRAN ROZPIDE-RAFAELA YBARRA;4623;79;28026;12;A;439566;4469890;78
222;6_5483;20190912;5483;VALCARLOS - Pº SAN MILLAN DE LA COGOLLA;3768;79;28050;8;A;443577;4484010;175
223;6_5485;20190912;5485;Pº.SAN MILLAN DE LA COGOLLA-SIERRA ATAPUERCA;3771;79;28050;8;A;443393;4484049;175
224;6_1887;20190912;1887;FUENTESPINA;1042;79;28031;18;A;448773;4470332;58, 63
225;6_1892;20190912;1892;ARROYO FONTARRON, 301;2604;79;28030;14;A;445616;4472138;63, N9
226;6_1894;20190912;1894;ARROYO FONTARRON-E.PALACIOS;4601;79;28030;14;A;445220;4472519;63, 143, N9
227;6_1895;20190912;1895;AVDA.MEDITERRANEO-MORATALAZ;2611;79;28030;14;A;445025;4472678;63, 143, 145, E, N9
228;6_1902;20190912;1902;FCOS.RODRIGUEZ-INST.VIRGEN DE LA PALOMA;1579;79;28039;9;A;439502;4479093;64
229;6_1904;20190912;1904;ANTONIO MACHADO-A.MARTIN ALZAGA;1583;79;28035;9;A;439141;4479494;64
230;6_1773;20190912;1773;Pº. STA.Mª CABEZA-Pº.CHOPERA;2535;79;28045;2;A;440497;4472298;55, 60, E1, N17
231;6_3060;20190912;3060;MALGRAT MAR-PONT MOLINS;2520;79;28038;13;A;445425;4471924;54
232;6_1703;20190912;1703;VICTOR SERNA-COLOMBIA;2505;79;28016;5;A;443154;4478852;52
